cmr_category,cmr_trait,bmr_category,bmr_trait,n,beta,pvalue
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (left),32136,0.082086395,3.59e-49
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Weighted-mean L3 in tract superior thalamic radiation (right),32135,0.082081615,3.65e-49
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (right),32126,0.082083007,3.75e-49
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right),32146,0.082034569,3.99e-49
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Weighted-mean MD in tract inferior fronto-occipital fasciculus (right),32150,0.082016534,4.13e-49
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L1 in tract inferior fronto-occipital fasciculus (left),32167,0.081955074,4.59e-49
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (left),30381,0.084321287,4.59e-49
Left ventricle,LV mean myocardial wall thickness AHA 5,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),32117,0.081989637,4.96e-49
Left ventricle,LV myocardial mass,NODDI dMRI,Weighted-mean ICVF in tract anterior thalamic radiation (left),32176,-0.081906783,5.06e-49
Left ventricle,LV myocardial mass,NODDI dMRI,Mean ICVF in anterior corona radiata on FA skeleton (left),32182,-0.081867651,5.51e-49
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (right),32101,0.081956526,5.72e-49
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Weighted-mean ISOVF in tract superior longitudinal fasciculus (left),32134,0.081891471,6.08e-49
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean MD in tract superior thalamic radiation (right),32125,0.081856235,6.88e-49
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean FA in anterior corona radiata on FA skeleton (left),32180,-0.081780593,6.99e-49
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (right),32108,0.081835875,7.7e-49
Left ventricle,LV mean myocardial wall thickness AHA 7,NODDI dMRI,Mean ISOVF in external capsule on FA skeleton (left),31731,0.082314027,7.8e-49
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (left),30403,0.084045507,8.67e-49
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L1 in tract superior thalamic radiation (left),32149,0.081715106,9.24e-49
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (right),32119,0.081745249,9.43e-49
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L3 in tract uncinate fasciculus (right),32187,0.081658489,9.45e-49
Left ventricle,LV mean myocardial wall thickness AHA 15,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),32115,0.08169232,1.1e-48
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean MD in tract forceps minor,32164,0.081618875,1.13e-48
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in superior fronto-occipital fasciculus on FA skeleton (right),31623,0.082290824,1.2e-48
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right),32149,0.081571587,1.35e-48
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L3 in superior fronto-occipital fasciculus on FA skeleton (left),31649,0.082189463,1.43e-48
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean L3 in tract superior thalamic radiation (left),32131,0.081571228,1.44e-48
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L1 in anterior corona radiata on FA skeleton (right),32166,0.081439841,1.81e-48
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean L2 in external capsule on FA skeleton (left),32073,0.081537144,1.91e-48
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (left),27373,-0.088198176,2.09e-48
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in posterior corona radiata on FA skeleton (right),31916,0.08169878,2.11e-48
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Weighted-mean MD in tract superior thalamic radiation (left),32126,0.081408628,2.25e-48
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (right),30417,0.083655495,2.26e-48
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in retrolenticular part of internal capsule on FA skeleton (left),32161,0.081353361,2.32e-48
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L2 in tract uncinate fasciculus (left),32179,0.081303968,2.49e-48
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Weighted-mean L2 in tract superior longitudinal fasciculus (right),32126,0.081357236,2.58e-48
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),32154,-0.081276456,2.9e-48
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (right),30401,0.083578817,2.91e-48
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in superior fronto-occipital fasciculus on FA skeleton (left),31396,0.082241031,2.96e-48
Left ventricle,LV myocardial mass,DTI dMRI,Mean FA in anterior corona radiata on FA skeleton (right),32208,-0.081181143,3.12e-48
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),27516,-0.087755703,3.53e-48
Left ventricle,LV mean myocardial wall thickness AHA 5,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (right),32125,0.081201651,3.9e-48
Left ventricle,LV mean myocardial wall thickness AHA 12,NODDI dMRI,Mean ICVF in anterior corona radiata on FA skeleton (left),32154,-0.081158698,3.96e-48
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (left),32091,0.08123276,4.02e-48
Left ventricle,LV mean myocardial wall thickness AHA 8,NODDI dMRI,Mean ISOVF in external capsule on FA skeleton (left),31729,0.081675844,4.21e-48
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (right),27487,-0.08772142,4.3e-48
Descending aorta,Descending aorta distensibility,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (right),27517,-0.087663082,4.41e-48
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (left),32124,0.081148813,4.49e-48
Left ventricle,LV mean myocardial wall thickness AHA 12,NODDI dMRI,Mean ICVF in external capsule on FA skeleton (left),32145,-0.08111736,4.55e-48
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (left),32115,0.081145934,4.67e-48
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (left),30331,0.083468955,4.93e-48
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (left),31982,0.081292373,4.94e-48
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean L2 in tract superior longitudinal fasciculus (right),32129,0.081087905,5.19e-48
Left ventricle,LV myocardial mass,DTI dMRI,Mean FA in external capsule on FA skeleton (right),32190,-0.081003536,5.3e-48
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (left),32145,0.081024138,5.82e-48
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean L2 in external capsule on FA skeleton (left),27482,-0.087589936,6.04e-48
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (right),32100,0.081060804,6.14e-48
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (left),32098,0.08104014,6.52e-48
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Mean ICVF in superior corona radiata on FA skeleton (right),32123,-0.08100668,6.56e-48
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Weighted-mean MD in tract superior thalamic radiation (right),32116,0.081004088,6.76e-48
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (left),27512,-0.087476785,7.09e-48
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean FA in tract inferior longitudinal fasciculus (right),32195,-0.080882749,7.16e-48
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (left),32107,0.080992911,7.17e-48
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (right),32106,0.080979001,7.46e-48
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in retrolenticular part of internal capsule on FA skeleton (right),32170,0.080897047,7.49e-48
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),32048,0.08104583,7.58e-48
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean FA in external capsule on FA skeleton (right),32165,-0.080815092,9.45e-48
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean MD in superior fronto-occipital fasciculus on FA skeleton (left),31368,0.081818746,9.78e-48
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (left),32089,0.080893251,9.88e-48
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean FA in tract anterior thalamic radiation (left),32195,-0.080728535,1.07e-47
Ascending aorta,Ascending aorta maximum area,Susceptibility weighted MRI,Median magnetic susceptibility in pallidum (left),29176,-0.03188453,5.11e-08
Ascending aorta,Ascending aorta maximum area,Susceptibility weighted MRI,Median T2star in caudate (left),29667,0.032648739,1.86e-08
Ascending aorta,Ascending aorta maximum area,Susceptibility weighted MRI,Median T2star in caudate (right),29668,0.035083932,1.5e-09
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (right),32118,0.080823135,1.08e-47
Ascending aorta,Ascending aorta maximum area,rfMRI component amplitude,d25_component_amplitudes_15,30743,-0.036749516,1.15e-10
Ascending aorta,Ascending aorta maximum area,rfMRI component amplitude,d100_component_amplitudes_2,30858,-0.035541543,4.24e-10
Ascending aorta,Ascending aorta maximum area,rfMRI component amplitude,d100_component_amplitudes_3,30857,-0.029842956,1.58e-07
Ascending aorta,Ascending aorta maximum area,rfMRI component amplitude,d100_component_amplitudes_15,30858,-0.033383867,4.47e-09
Ascending aorta,Ascending aorta maximum area,rfMRI component amplitude,d100_component_amplitudes_17,30849,-0.053845173,2.97e-21
Ascending aorta,Ascending aorta maximum area,rfMRI component amplitude,d100_component_amplitudes_22,30848,-0.034388696,1.53e-09
Ascending aorta,Ascending aorta maximum area,rfMRI component amplitude,d100_component_amplitudes_23,30839,-0.037153559,6.73e-11
Ascending aorta,Ascending aorta maximum area,rfMRI component amplitude,d100_component_amplitudes_38,30852,-0.039457216,4.12e-12
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Accessory-Basal-nucleus (left hemisphere),30126,-0.050551314,1.64e-18
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Accessory-Basal-nucleus (right hemisphere),30125,-0.049827336,5e-18
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Anterior-amygdaloid-area-AAA (left hemisphere),30125,-0.034011216,3.53e-09
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Anterior-amygdaloid-area-AAA (right hemisphere),30125,-0.043587771,3.77e-14
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of CA1-head (left hemisphere),30126,-0.031008989,7.32e-08
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of CA1-head (right hemisphere),30125,-0.032357302,1.94e-08
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Cortical-nucleus (left hemisphere),30126,-0.052569767,6.83e-20
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Cortical-nucleus (right hemisphere),30126,-0.05571354,3.77e-22
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Corticoamygdaloid-transitio (left hemisphere),30123,-0.055517378,5.28e-22
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Corticoamygdaloid-transitio (right hemisphere),30125,-0.052393422,9.07e-20
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of HATA (left hemisphere),30125,-0.059216234,8.11e-25
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of HATA (right hemisphere),30125,-0.049061016,1.59e-17
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Medial-nucleus (right hemisphere),30125,-0.030642384,1.04e-07
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Medulla (whole brain),30119,0.032592363,1.53e-08
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Midbrain (whole brain),30126,0.041538192,5.49e-13
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Pons (whole brain),30124,0.034790989,1.54e-09
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of SCP (whole brain),30072,0.037136562,1.18e-10
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Whole-amygdala (left hemisphere),30126,-0.030151787,1.66e-07
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of Whole-brainstem (whole brain),30124,0.038729249,1.77e-11
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of hippocampal-fissure (left hemisphere),30104,0.032699242,1.39e-08
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of hippocampal-fissure (right hemisphere),30119,0.033335237,7.18e-09
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of molecular-layer-HP-head (left hemisphere),30125,-0.032558,1.58e-08
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of molecular-layer-HP-head (right hemisphere),30124,-0.029903048,2.09e-07
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of G+S-transv-frontopol (right hemisphere),30124,-0.030829059,8.71e-08
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of G-front-middle (left hemisphere),30126,-0.033673584,5.03e-09
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of G-front-middle (right hemisphere),30126,-0.034683623,1.73e-09
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of G-front-sup (left hemisphere),30126,-0.034378865,2.39e-09
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of G-occipital-sup (right hemisphere),30125,-0.030535308,1.15e-07
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of G-temp-sup-Lateral (left hemisphere),30123,-0.032782657,1.26e-08
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of S-pericallosal (left hemisphere),30090,0.030448417,1.27e-07
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of rostralmiddlefrontal (left hemisphere),30126,-0.036102662,3.66e-10
Ascending aorta,Ascending aorta minimum area,Volume of global and regional brain,Volume of rostralmiddlefrontal (right hemisphere),30125,-0.034944307,1.31e-09
